plot,espnurse,target,N_sob,sob,NHP,HP,NFP,FP,NH1,H1,NF1,F1,NH2,H2,NF2,F2,NH3,H3,NF3,F3,NH4,H4,NF4,F4,NH5,H5,NF5,F5,NH6,H6,NF6,F6,NH7,H7,NF7,F7,NH8,H8,NF8,F8,NH9,H9,NF9,F9
70,jubranca,aroeira,60,60,31,43,10,16,31,43,8,12,32,46,8,13,34,44,6,0,34,47,4,0,31,45,5,0,32,46,2,1,32,46,1,0,33,47,0,0,-1,46,-1,0
68,jubranca,angico,82,82,30,43,8,9,30,43,8,4,29,39,7,4,29,40,2,4,30,41,1,4,29,39,2,4,29,40,2,4,29,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
68,jubranca,cating,75,82,33,19,2,2,33,19,2,2,36,18,3,2,31,19,1,2,32,20,1,2,30,20,2,2,32,20,1,2,32,19,1,0,33,-1,0,-1,32,-1,0,-1
68,jubranca,aroeira,60,46,26,41,11,12,26,41,11,13,28,39,11,12,30,38,8,1,28,40,2,1,27,38,2,1,27,38,2,1,27,38,2,1,27,38,0,1,26,-1,0,-1
22,jupreta,angico,82,60,30,45,16,18,30,45,11,19,28,43,10,13,28,44,7,3,28,48,5,5,49,22,4,5,28,44,5,0,28,42,4,0,28,43,1,0,29,45,1,0
22,jupreta,cating,82,75,38,28,4,2,38,28,4,3,37,21,4,2,37,22,3,3,37,21,3,2,36,68,2,0,37,20,3,0,37,20,0,0,37,-1,0,-1,38,-1,0,-1
22,jupreta,aroeira,82,82,39,30,8,14,39,30,7,13,32,31,8,14,32,31,8,12,33,31,7,5,31,34,1,5,33,38,4,5,32,31.5,4,3,33,38,2,3,35,31,1,0
98,jupreta,angico,82,60,52,22,8,8,52,22,5,7,49,24,4,7,48,24,4,3,49,24,4,5,28,46,5,4,49,23,4,4,50,24,0,4,53,33,0,3,49,23,0,0
98,jupreta,cating,82,82,23,70,4,6,23,70,3,8,23,68,3,7,20,71,2,7,21,70,3,7,37,32,3,0,20,67,0,0,22,68,0,0,23,69,0,0,22,70,0,0
98,jupreta,aroeira,82,82,35,32,9,12,35,32,8,11,38,34,8,14,37,32,8,11,38,34,6,9,33,31,5,5,36,32,2,2,36,32,1,1,39.5,34,0,0,38,32,0,0
